id,title,sub_title,author,image_url,publish_date
9770934860001,NVwZ-Rechtsprechungs-Report Verwaltungsrecht (NVwZ-RR),"Neue Entscheidungen aus den Bereichen Verfassungsrecht und Verfassungsprozessrecht, Allg. Verwaltungsrecht und Verwaltungsverfahren, Bau- und Planungsrecht u.a.",C.H.Beck,https://www.buchhandel.de/cover/9770934860001/9770934860001-cover-s.jpg,
9770949713002,NZA-Rechtsprechungs-Report Arbeitsrecht (NZA-RR),"Aufsätze, Berichte und neue Entscheidungen aus den Bereichen Arbeitsvertragsrecht, Kündigungsrecht, Betriebsverfassungsrecht, Tarifvertragsrecht u.a.",C.H.Beck,https://www.buchhandel.de/cover/9770949713002/9770949713002-cover-s.jpg,
9772078395005,ÖGSWissen,Das ÖGSW Magazin für Steuerberater und Wirtschaftsprüfer,MANZ Verlag Wien,https://www.buchhandel.de/cover/9772078395005/9772078395005-cover-s.jpg,
9771015242006,Ökologie & Landbau,Zeitschrift für ökologische Landwirtschaft,oekom verlag,https://www.buchhandel.de/cover/9771015242006/9771015242006-cover-s.jpg,
9771430880005,Ökologisches Wirtschaften,Die Zukunft des Wirtschaftens hat begonnen,oekom verlag,https://www.buchhandel.de/cover/9771430880005/9771430880005-cover-s.jpg,
9770029865003,Ökumenische Rundschau,,Evangelische Verlagsanstalt,https://www.buchhandel.de/cover/9770029865003/9770029865003-cover-s.jpg,
9770029892009,Österreichische Blätter für gewerblichen Rechtsschutz und Urheberrecht,ÖBl,MANZ Verlag Wien,https://www.buchhandel.de/cover/9770029892009/9770029892009-cover-s.jpg,
9772616495006,"Österreichische Denkmaltopographie 5, 2022",Stadtmauern in Niederösterreich,"Berger & Söhne, Ferdinand",https://www.buchhandel.de/cover/9772616495006/9772616495006-cover-s.jpg,
9770029925004,Österreichische Juristen-Zeitung,ÖJZ,MANZ Verlag Wien,https://www.buchhandel.de/cover/9770029925004/9770029925004-cover-s.jpg,
9770029934006,Österreichische Notariats-Zeitung,Monatsschrift für Notariat und Verfahren außer Streitsachen,MANZ Verlag Wien,https://www.buchhandel.de/cover/9770029934006/9770029934006-cover-s.jpg,
9771017637008,Österreichische Restauratorenblätter Band 35,,"Berger & Söhne, Ferdinand",https://www.buchhandel.de/cover/9771017637008/9771017637008-cover-s.jpg,
9771605254006,Österreichisches Anwaltsblatt,Organ des Österreichischen Rechtsanwaltskammertages,MANZ Verlag Wien,https://www.buchhandel.de/cover/9771605254006/9771605254006-cover-s.jpg,
9772308755005,Österreichische Zeitschrift für das Ärztliche Gutachten,,MANZ Verlag Wien,https://www.buchhandel.de/cover/9772308755005/9772308755005-cover-s.jpg,
9770029962009,Österreichische Zeitschrift für Kunst- und Denkmalpflege,,"Berger & Söhne, Ferdinand",https://www.buchhandel.de/cover/9770029962009/9770029962009-cover-s.jpg,
9772072223007,Österreichische Zeitschrift für Liegenschaftsbewertung,ZLB,MANZ Verlag Wien,https://www.buchhandel.de/cover/9772072223007/9772072223007-cover-s.jpg,
9772079095003,Österreichische Zeitschrift für Pflegerecht,Zeitschrift für die Heim- und Pflegepraxis und Krankenanstalten,MANZ Verlag Wien,https://www.buchhandel.de/cover/9772079095003/9772079095003-cover-s.jpg,
9770015227006,ÖStZB - Beilage zur Österreichischen Steuerzeitung,"Die finanzrechtlichen Erkenntnisse des VwGH, VfGH und EuGH in lückenloser Folge",LexisNexis ARD ORAC,https://www.buchhandel.de/cover/9770015227006/9770015227006-cover-s.jpg,
